Structure Number,Tower Type,Assembly Type,Foundation Type,Tower Steel,Foundations,Date Fdn Installed,Assembly,Erected,Date Tower Stood,Strung/Clipped,OPGW Splice,Final Inspection,,,Foundation,Tower Assembly,Tower Erection,Stringing [km],Final Inspection,,,Req'd Cleairng on Span (est) [ha],% Clearing Complete on Span,equivalent ha complete,Report #,,ahead span [m],AMC / Diverter Reqd,AMC/Diverter Completed,
142,F-207-3+9,Lattice,CIP,On-Site,Completed,2-Nov-21,Completed,Completed,31-Jan-22,Completed,Completed,Completed,,,,,,,,,,,,0,,,380.01,NA,NA,
143,A-210-5+6,Lattice,CIP,On-Site,Completed,21-Oct-21,Completed,Completed,18-Dec-21,Completed,NA,Completed,,,,,,,,,,,,0,,,394.21,NA,NA,
144,A-210-5+3,Lattice,CIP,On-Site,Completed,21-Oct-21,Completed,Completed,18-Dec-21,Completed,NA,Completed,,,,,,,,,,,,0,,,394.73,NA,NA,
145,A-210-5+6,Lattice,CIP,On-Site,Completed,26-Oct-21,Completed,Completed,18-Dec-21,Completed,NA,Completed,,,,,,,,,,,,0,,,395.00,NA,NA,
146,A-210-5+3,Lattice,CIP,On-Site,Completed,25-Oct-21,Completed,Completed,18-Dec-21,Completed,NA,Completed,,,,,,,,,,,,0,,,374.44,NA,NA,
147,A-210-5+3,Lattice,CIP,On-Site,Completed,26-Oct-21,Completed,Completed,4-Jan-22,Completed,NA,Completed,,,,,,,,,,,,0,,,377.14,NA,NA,
148,A-210-5+3,Lattice,CIP,On-Site,Completed,29-Oct-21,Completed,Completed,4-Jan-22,Completed,NA,Completed,,,,,,,,,,,,0,,,377.66,NA,NA,
149,A-210-5+3,Lattice,CIP,On-Site,Completed,30-Oct-21,Completed,Completed,4-Jan-22,Completed,NA,Completed,,,,,,,,,,,,0,,,394.25,NA,NA,
150,A-210-5+6,Lattice,CIP,On-Site,Completed,30-Oct-21,Completed,Completed,4-Jan-22,Completed,NA,Completed,,,,,,,,,,,,0,,,304.81,NA,NA,
151,A-210-5+6,Lattice,CIP,On-Site,Completed,4-Nov-21,Completed,Completed,6-Jan-22,Completed,NA,Completed,,,,,,,,,,,,0,,,396.75,B100,Not In Progress,
152,A-210-5+6,Lattice,CIP,On-Site,Completed,5-Nov-21,Completed,Completed,6-Jan-22,Completed,NA,Completed,,,,,,,,,,,,0,,,418.24,NA,NA,
153,A-210-5+6,Lattice,CIP,On-Site,Completed,5-Nov-21,Completed,Completed,6-Jan-22,Completed,NA,Completed,,,,,,,,,,,,0,,,419.38,NA,NA,
154,A-210-5+6,Lattice,CIP,On-Site,Completed,5-Nov-21,Completed,Completed,6-Jan-22,Completed,NA,Completed,,,,,,,,,,,,0,,,387.88,NA,NA,
155,F-207-3+9,Lattice,CIP,On-Site,Completed,8-Nov-21,Completed,Completed,5-Feb-22,Not In Progress,Not In Progress,Not In Progress,,,,,,,,,,,,0,,,360.05,NA,NA,
156,A-210-5+3,Lattice,CIP,On-Site,Completed,8-Nov-21,Completed,Completed,6-Jan-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,373.81,NA,NA,
157,A-210-5+3,Lattice,CIP,On-Site,Completed,8-Nov-21,Completed,Completed,10-Jan-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,391.99,NA,NA,
158,A-210-5+6,Lattice,CIP,On-Site,Completed,8-Nov-21,Completed,Completed,10-Jan-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,410.95,NA,NA,
159,A-210-5+6,Lattice,CIP,On-Site,Completed,9-Nov-21,Completed,Completed,10-Jan-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,392.31,NA,NA,
160,A-210-5+3,Lattice,CIP,On-Site,Completed,9-Nov-21,Completed,Completed,10-Jan-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,389.66,NA,NA,
161,A-210-5+6,Lattice,CIP,On-Site,Completed,9-Nov-21,Completed,Completed,10-Jan-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,414.74,NA,NA,
162,A-210-5+6,Lattice,CIP,On-Site,Completed,9-Nov-21,Completed,Completed,11-Jan-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,402.20,NA,NA,
163,A-210-5+3,Lattice,CIP,On-Site,Completed,10-Nov-21,Completed,Completed,11-Jan-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,400.20,NA,NA,
164,A-210-5+6,Lattice,CIP,On-Site,Completed,22-Nov-21,Completed,Completed,11-Jan-22,Not In Progress,NA,Not In Progress,,,,,,,,,"trees knocked down by others, cleaned up by BFJV",0.257333,100%,0.257333,,,408.20,B100,Not In Progress,
165,A-210-5+6,Lattice,CIP,On-Site,Completed,24-Nov-21,Completed,Completed,11-Jan-22,Not In Progress,Not In Progress,Not In Progress,,,,,,,,,,,,0,,,408.20,NA,NA,
166,A-210-5+6,Lattice,CIP,On-Site,Completed,24-Nov-21,Completed,Completed,11-Jan-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,408.20,NA,NA,
167,A-210-5+6,Lattice,CIP,On-Site,Completed,23-Nov-21,Completed,Completed,12-Jan-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,398.20,NA,NA,
168,A-210-5+6,Lattice,CIP,On-Site,Completed,25-Nov-21,Completed,Completed,12-Jan-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,398.20,NA,NA,
169,A-210-5+6,Lattice,CIP,On-Site,Completed,25-Nov-21,Completed,Completed,12-Jan-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,398.20,AP,Not In Progress,
170,A-210-5+6,Lattice,CIP,On-Site,Completed,26-Nov-21,Completed,Completed,12-Jan-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,403.20,NA,NA,
171,A-210-5+6,Lattice,CIP,On-Site,Completed,26-Nov-21,Completed,Completed,14-Jan-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,403.20,NA,NA,
172,A-210-5+6,Lattice,CIP,On-Site,Completed,27-Nov-21,Completed,Completed,16-Jan-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,403.20,NA,NA,
173,A-210-5+6,Lattice,CIP,On-Site,Completed,27-Nov-21,Completed,Completed,17-Jan-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,403.20,NA,NA,
174,A-210-5+6,Lattice,CIP,On-Site,Completed,29-Nov-21,Completed,Completed,17-Jan-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,403.20,NA,NA,
175,A-210-5+6,Lattice,CIP,On-Site,Completed,30-Nov-21,Completed,Completed,19-Jan-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,403.19,NA,NA,
176,A-210-5+6,Lattice,CIP,On-Site,Completed,30-Nov-21,Completed,Completed,24-Jan-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,403.20,NA,NA,
177,A-210-5+6,Lattice,CIP,On-Site,Completed,1-Dec-21,Completed,Completed,24-Jan-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,403.20,NA,NA,
178,A-210-5+6,Lattice,CIP,On-Site,Completed,2-Dec-21,Completed,Completed,24-Jan-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,403.20,NA,NA,
179,A-210-5+6,Lattice,CIP,On-Site,Completed,2-Dec-21,Completed,Completed,24-Jan-22,Not In Progress,Not In Progress,Not In Progress,,,,,,,,,,,,0,,,402.87,NA,NA,
180,A-210-5+6,Lattice,CIP,On-Site,Completed,3-Dec-21,Completed,Completed,25-Jan-22,In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,405.16,NA,NA,
181,A-210-5+6,Lattice,CIP,On-Site,Completed,3-Dec-21,Completed,Completed,27-Jan-22,In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,402.61,NA,NA,
182,A-210-5+6,Lattice,CIP,On-Site,Completed,4-Dec-21,Completed,Completed,27-Jan-22,In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,390.15,B100,Not In Progress,
183,D-204-0+0,Lattice,CIP,On-Site,Completed,6-Dec-21,Completed,Completed,7-Feb-22,Completed,NA,Not In Progress,,,,,,,,,,1.162918,100%,1.162918,,,405.13,AW; B100,Not In Progress,
184,D-204-0+0,Lattice,CIP,On-Site,Completed,9-Dec-21,Completed,Completed,9-Feb-22,Completed,NA,Completed,,,,,,,,,,,,0,,,378.60,B100,Not In Progress,
185,A-210-5+3,Lattice,CIP,On-Site,Completed,8-Dec-21,Completed,Completed,9-Feb-22,Completed,NA,Completed,,,,,,,,,,,,0,,,380.85,B100,Not In Progress,
186,A-210-5+3,Lattice,CIP,On-Site,Completed,8-Dec-21,Completed,Completed,12-Feb-22,Completed,NA,Completed,,,,,,,,,,,,0,,,386.00,NA,NA,
187,A-210-5+9,Lattice,CIP,On-Site,Completed,10-Dec-21,Completed,Completed,12-Feb-22,Completed,NA,Completed,,,,,,,,,,,,0,,,413.00,NA,NA,
188,A-210-5+9,Lattice,CIP,On-Site,Completed,11-Dec-21,Completed,Completed,12-Feb-22,Completed,NA,Completed,,,,,,,,,,,,0,,,409.00,NA,NA,
189,A-210-5+3,Lattice,CIP,On-Site,Completed,11-Dec-21,Completed,Completed,14-Feb-22,Completed,NA,Completed,,,,,,,,,,,,0,,,380.00,NA,NA,
190,A-210-5+3,Lattice,CIP,On-Site,Completed,13-Dec-21,Completed,Completed,15-Feb-22,Completed,NA,Completed,,,,,,,,,,,,0,,,374.00,NA,NA,
191,A-210-5+3,Lattice,CIP,On-Site,Completed,13-Dec-21,Completed,Completed,17-Feb-22,Completed,NA,Completed,,,,,,,,,,,,0,,,374.79,NA,NA,
192,A-210-5+3,Lattice,CIP,On-Site,Completed,15-Dec-21,Completed,Completed,17-Feb-22,Completed,NA,Completed,,,,,,,,,,,,0,,,397.21,NA,NA,
193,A-210-5+6,Lattice,CIP,On-Site,Completed,15-Dec-21,Completed,Completed,17-Feb-22,Completed,NA,Completed,,,,,,,,,,,,0,,,421.00,NA,NA,
194,A-210-5+9,Lattice,CIP,On-Site,Completed,16-Dec-21,Completed,Completed,21-Feb-22,Completed,Completed,Completed,,,,,,,,,,,,0,,,400.44,NA,NA,
195,A-210-5+9,Lattice,CIP,On-Site,Completed,17-Dec-21,Completed,Completed,21-Feb-22,Completed,NA,Not In Progress,,,,,,,,,,,,0,,,202.18,NA,NA,
196,F-207-3+12,Lattice,CIP,On-Site,Completed,11-Jan-22,Completed,Completed,25-Feb-22,In Progress,Not In Progress,Not In Progress,,,,,,,,,,,,0,,,338.86,NA,NA,
197,A-210-5+0,Lattice,CIP,On-Site,Completed,17-Dec-21,Completed,Completed,25-Feb-22,In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,318.64,NA,NA,
198,A-210-5+3,Lattice,CIP,On-Site,Completed,13-Jan-22,Completed,Completed,25-Feb-22,In Progress,NA,Not In Progress,,,,,,,,,,0.285216,100%,0.285216,,,297.77,B100,Not In Progress,
199,D-204-0+0,Lattice,CIP,On-Site,Completed,26-Jan-22,Completed,Completed,28-Feb-22,In Progress,NA,Not In Progress,,,,,,,,,,0.223223,100%,0.223223,,,296.78,B100,Not In Progress,
200,A-210-5+0,Lattice,CIP,On-Site,Completed,15-Jan-22,Completed,Completed,28-Feb-22,In Progress,NA,Not In Progress,,,,,,,,,,0.461647,50%,0.2308235,to be mulched later,,288.22,NA,NA,
201,A-210-5+0,Lattice,CIP,On-Site,Completed,15-Jan-22,Completed,Completed,28-Feb-22,In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,301.50,AP,Not In Progress,
202,D-204-0+0,Lattice,CIP,On-Site,Completed,20-Jan-22,Completed,Completed,4-Mar-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,128.62,NA,NA,
203,TA-206-0+3,Tubular,CIP,On-Site,Completed,15-Mar-22,Completed,Completed,26-Mar-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,91.38,NA,NA,
Letellier Sta.,Gantry,--,,,NA,NA,NA,NA,,NA,Not In Progress,NA,,,,,,,,,,,,,,,Per Add 1; ST Rev 2 (6/8/2021),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,per WI 5,,per WI 6e,,,,,,,,,,,,,,,,,,,25.65158,est reqd,25.42,completed to date [ha],,,,,
,,,,,,,,,,,,,,,,,,,,,,Per GDS August 19 2021,,25.685,total est req per CoPW Tender on MERX (Add 2),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,98.97%,completed to date [%],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1.88,completed since last report [ha],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,7.32%,completed since last report [%],,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
